
Frequency: 22050, Amplitude pozitiv: 0, Amplitude negativ: 0, .-<<||||   ;
Frequency: 689, Amplitude pozitiv: 7752, Amplitude negativ: 6116, .-<<||||   461, 4758, 6937, 7799, 10216, 14977, 19812, 21518, 19221, 14105, 9068, 7070, 7842, 8885, 7154, 2879, 1, 1, 1, 3029, 5334, 4956, 2274, -757, -2639, -3903, -5677, -8716, -11905, -12092, -7998, -1360, ;


Frequency: 253, Amplitude pozitiv: 3883, Amplitude negativ: 4397, .-<<||||   4950, 7751, 6514, 3767, 2611, 4126, 6791, 8556, 7882, 5302, 2890, 2054, 2856, 3652, 3236, 1806, 491, 272, 1138, 1028, -1130, -3990, -5816, -5752, -4315, -2370, -1768, -2879, -3835, -3031, -540, -1, -1, -1, -1, -1315, -1971, -2090, -2059, -2758, -4406, -5936, -5971, -4767, -3973, -4037, -4880, -6471, -8121, -9007, -9315, -9382, -9433, -9159, -8121, -6356, -4380, -3041, -2592, -2857, -3701, -4527, -5034, -5317, -5638, -5899, -5880, -5487, -4987, -5302, -5812, -6194, -6317, -6154, -5818, -5712, -5967, -6220, -6155, -5496, -4672, -3746, -2842, -2066, -1273, -493, -71, ;


Frequency: 5512, Amplitude pozitiv: 75, Amplitude negativ: 360, .-<<||||   141, 10, -315, -405, ;


Frequency: 512, Amplitude pozitiv: 6540, Amplitude negativ: 3427, .-<<||||   379, 1556, 2913, 3881, 4469, 4648, 4931, 5370, 5538, 5628, 5253, 5083, 5133, 5853, 6808, 7858, 8697, 9034, 9763, 10823, 11824, 12345, 11976, 9231, 4508, -2365, -8082, -9924, -7835, -3592, -672, -523, -4358, -8457, -8570, -4207, -1, -1, -1, -1, -964, -1832, -313, ;


Frequency: 711, Amplitude pozitiv: 7204, Amplitude negativ: 6119, .-<<||||   2407, 4853, 6538, 8441, 12184, 17015, 19757, 19011, 15340, 10703, 7566, 7032, 7740, 7389, 4705, 1112, 1, 1, 1189, 3668, 4530, 3345, 1185, -633, -2009, -3755, -6478, -9395, -11457, -10081, -5151, ;


Frequency: 250, Amplitude pozitiv: 3522, Amplitude negativ: 4463, .-<<||||   1042, 5604, 6803, 5588, 3678, 3396, 5021, 7218, 8044, 6721, 4174, 2431, 2493, 3504, 4120, 3233, 1444, 144, 94, 1073, 1468, 202, -2346, -4386, -4850, -3329, -1240, -1, -284, -1038, -1047, -856, -173, -1, -1, -471, -1675, -2299, -2701, -3620, -4964, -6341, -7252, -6968, -5957, -4905, -4398, -4934, -6756, -8776, -9575, -9092, -8365, -7389, -6112, -5155, -4657, -4280, -4106, -4173, -4432, -4760, -5132, -5532, -5937, -6564, -6870, -6716, -6520, -6274, -6312, -6569, -6983, -7149, -7079, -6985, -6658, -6596, -6418, -5579, -4274, -3166, -2268, -1639, -1472, -1139, -830, -277, ;


Frequency: 5512, Amplitude pozitiv: 58, Amplitude negativ: 246, .-<<||||   77, 40, -242, -251, ;


Frequency: 595, Amplitude pozitiv: 6717, Amplitude negativ: 5138, .-<<||||   386, 1634, 3083, 4245, 4620, 4409, 3985, 4067, 4351, 4510, 4658, 4497, 4566, 5251, 6449, 7556, 8957, 9979, 10750, 11341, 12188, 13032, 13345, 12539, 9818, 4443, -2889, -8111, -9413, -6234, -1208, -1, -1, -5406, -9864, -9423, -3968, ;


Frequency: 580, Amplitude pozitiv: 6376, Amplitude negativ: 6325, .-<<||||   3518, 7556, 6209, 1378, 1, 1, 69, 4056, 6694, 7409, 9003, 13114, 18117, 20809, 19774, 15565, 10388, 7326, 7224, 8247, 7586, 4122, 1, 1, 1, 1126, 3969, 4566, 3004, 466, -1516, -2563, -3944, -6497, -9935, -11841, -9932, -4373, ;


Frequency: 239, Amplitude pozitiv: 3590, Amplitude negativ: 4186, .-<<||||   2027, 6281, 6929, 4747, 2710, 3090, 5647, 8120, 8381, 6399, 3682, 2165, 2343, 3397, 3415, 2270, 370, 1, 323, 1603, 1499, -1336, -4657, -6321, -5493, -3390, -1611, -1417, -2828, -3934, -2694, -1, -1, -1, -1, -481, -1692, -1646, -1873, -2568, -3963, -5862, -7053, -6408, -4617, -3656, -4059, -5406, -7025, -8311, -8699, -8784, -8769, -8871, -8417, -7402, -5773, -4073, -3180, -3043, -3552, -3944, -4303, -4639, -5142, -5801, -6539, -6699, -6292, -5691, -5587, -6093, -6570, -6739, -6361, -5854, -5358, -5521, -5729, -5372, -4751, -4001, -3249, -2459, -1968, -1506, -910, -311, -1, -152, -467, -387, ;


Frequency: 595, Amplitude pozitiv: 6426, Amplitude negativ: 4638, .-<<||||   335, 1548, 2943, 4094, 4515, 4141, 3881, 4000, 4305, 4957, 4919, 4892, 5219, 5916, 6930, 7960, 9164, 9845, 10311, 11165, 12013, 12220, 12026, 10469, 7211, 2114, -4061, -7910, -8574, -5088, -962, -1, -520, -5497, -8694, -7565, -2148, ;


Frequency: 580, Amplitude pozitiv: 6168, Amplitude negativ: 5230, .-<<||||   3790, 6485, 4926, 629, 1, 1, 1266, 4712, 6801, 7811, 9395, 13154, 17340, 19144, 17489, 13392, 9033, 6969, 7092, 7815, 6637, 3453, 47, 1, 1, 1887, 3853, 3639, 2111, -219, -1755, -2880, -4513, -6851, -9614, -10530, -8036, -2676, ;


Frequency: 245, Amplitude pozitiv: 4067, Amplitude negativ: 4188, .-<<||||   2816, 5688, 5553, 3787, 2611, 3611, 6061, 7827, 7532, 5446, 3130, 2075, 2488, 3068, 2486, 904, -955, -1485, -573, -1, -1, -1057, -3084, -4211, -3782, -2415, -1418, -1575, -2402, -2938, -2877, -1919, -248, -1, -373, -1631, -2254, -2722, -3050, -3709, -5325, -6922, -7727, -7400, -6500, -5563, -5370, -6588, -8018, -8525, -8639, -8142, -7322, -6433, -6025, -5802, -5367, -4838, -4492, -4463, -4653, -5226, -5583, -5698, -5861, -5882, -5779, -5729, -6140, -6957, -7512, -7499, -7207, -6807, -6625, -6535, -6474, -5971, -5004, -3951, -3163, -2783, -2477, -2246, -1669, -1100, -661, -258, -201, -191, ;


Frequency: 490, Amplitude pozitiv: 6482, Amplitude negativ: 3328, .-<<||||   172, 1043, 2192, 3186, 3881, 4037, 4013, 4032, 4175, 4278, 4279, 4428, 4517, 5133, 6179, 7181, 8434, 9465, 9994, 10430, 11129, 12276, 12709, 12680, 11817, 8903, 4472, -1771, -6754, -8522, -6610, -2432, -1, -164, -4408, -9013, -9487, -5170, -1, -1, -1, -1, -2029, -2854, -698, ;


Frequency: 689, Amplitude pozitiv: 7046, Amplitude negativ: 5313, .-<<||||   2861, 5862, 6868, 7997, 11114, 15665, 18834, 18638, 15553, 11054, 7614, 7020, 7851, 7626, 4889, 920, 1, 1, 66, 2923, 4253, 3265, 1201, -916, -2118, -3263, -5476, -8679, -11134, -10243, -5890, -105, ;


Frequency: 245, Amplitude pozitiv: 3905, Amplitude negativ: 4731, .-<<||||   4237, 5457, 4240, 2567, 2941, 5160, 7496, 8207, 6717, 4145, 2129, 1853, 2580, 2759, 1844, 156, -1452, -1691, -730, -28, -616, -2475, -4514, -5608, -4929, -3472, -3097, -3909, -4510, -3836, -2251, -368, -1, -1, -1776, -2480, -2288, -1566, -1537, -3234, -5820, -7777, -7917, -7098, -6172, -5436, -5477, -6745, -8152, -8799, -8908, -9163, -8924, -8185, -7452, -6660, -6169, -5781, -5843, -6074, -6559, -6786, -6348, -5942, -5662, -5477, -5571, -6280, -7314, -8211, -8726, -8708, -8196, -7191, -6303, -5622, -5476, -5576, -5366, -4797, -3936, -3203, -2806, -2453, -2089, -1879, -1596, -1334, -1081, -686, ;


Frequency: 580, Amplitude pozitiv: 6278, Amplitude negativ: 4821, .-<<||||   303, 1576, 2762, 3434, 3706, 3609, 3252, 3187, 3451, 4151, 4546, 4785, 4841, 5204, 6147, 7199, 8423, 9573, 10339, 10884, 11358, 11689, 11944, 11771, 10539, 7614, 3234, -2830, -7209, -8312, -5689, -1483, -1, -1, -4893, -9152, -9006, -4465, ;


Frequency: 565, Amplitude pozitiv: 5733, Amplitude negativ: 5254, .-<<||||   1939, 5939, 5567, 1755, 1, 1, 283, 3450, 5947, 6847, 7719, 10350, 14739, 17481, 17077, 14267, 10333, 7745, 7386, 8128, 7761, 4815, 1090, 1, 1, 496, 2811, 3973, 3098, 1012, -876, -2356, -3686, -5930, -8687, -10374, -9350, -5431, -597, ;


Frequency: 242, Amplitude pozitiv: 3534, Amplitude negativ: 4400, .-<<||||   2804, 4010, 3137, 1960, 2472, 4476, 6800, 7647, 6527, 4228, 2400, 1828, 1934, 1849, 949, -403, -1317, -962, -67, -1, -131, -1483, -2823, -3122, -2512, -1981, -1928, -2377, -2783, -3271, -2999, -1946, -774, -592, -1004, -1245, -1677, -2488, -3442, -4905, -6390, -7353, -7833, -7475, -6517, -5905, -6320, -7486, -8292, -8551, -8580, -7966, -6843, -6054, -5924, -6021, -6106, -6076, -6231, -6180, -6170, -6152, -6184, -6414, -6241, -6021, -5966, -6328, -7142, -7973, -8373, -8150, -7898, -7344, -6927, -6830, -6534, -5806, -4541, -3456, -2931, -2659, -2766, -2761, -2163, -1566, -1086, -852, -1043, -1148, -662, ;


Frequency: 286, Amplitude pozitiv: 5285, Amplitude negativ: 5216, .-<<||||   260, 1513, 2622, 3074, 2931, 2856, 2849, 2999, 3287, 3256, 3265, 3468, 4199, 5537, 6924, 8204, 9068, 9629, 10323, 11376, 12127, 12529, 12270, 11702, 10451, 8174, 3852, 1, 1, 1, 1, 62, 2516, 239, 1, 1, 1, 1, 3336, 7074, 5573, 973, 1, 1, 1195, 5310, 7126, 6812, 7355, 10517, 15150, 18384, 18773, 15773, 11235, 8207, 7728, 8578, 8278, 5813, 2089, 1, 1, 814, 3310, 4316, 3257, 843, -1226, -2818, -4140, -5835, -8194, -9512, -8714, -5345, -1164, ;


Frequency: 247, Amplitude pozitiv: 3180, Amplitude negativ: 4577, .-<<||||   2101, 3580, 2967, 1961, 2198, 3777, 5767, 6793, 6246, 4624, 2809, 1662, 1305, 1239, 672, -462, -1452, -1610, -943, -173, -1, -837, -2662, -3894, -4197, -3781, -3648, -3440, -3796, -4365, -4275, -3625, -2816, -1736, -897, -766, -1455, -2236, -3912, -6107, -7338, -7595, -7464, -7248, -6431, -6153, -6639, -7241, -7882, -8483, -8371, -7610, -6864, -6467, -6274, -6558, -6735, -6566, -6091, -5746, -5584, -5465, -5544, -5381, -5426, -5944, -6928, -7778, -8492, -8268, -7241, -6321, -5934, -5909, -6348, -6684, -6209, -5188, -4134, -3309, -2774, -2600, -2411, -2034, -1437, -1161, -839, -568, -13, ;


Frequency: 580, Amplitude pozitiv: 6511, Amplitude negativ: 4710, .-<<||||   996, 1862, 2478, 2768, 2842, 2651, 3362, 4282, 4784, 5056, 4947, 4745, 4869, 5828, 7408, 8606, 9515, 10080, 10497, 11121, 11887, 12623, 12782, 12168, 9796, 6438, 1422, -3639, -6530, -6589, -3929, -1374, -460, -2938, -7419, -9326, -7415, -2198, ;


Frequency: 565, Amplitude pozitiv: 6119, Amplitude negativ: 4555, .-<<||||   3599, 6275, 4643, 813, 1, 1, 919, 4007, 6177, 6890, 8217, 11065, 14545, 16517, 16434, 14184, 11090, 9112, 8681, 9053, 8187, 5567, 2340, 169, 1, 1438, 3568, 4641, 3819, 1640, -633, -2429, -3976, -5686, -7407, -8258, -7394, -4372, -848, ;


Frequency: 245, Amplitude pozitiv: 3515, Amplitude negativ: 4432, .-<<||||   1730, 2590, 2246, 1983, 2781, 4768, 6625, 7190, 6256, 4672, 3198, 2700, 2494, 2257, 1240, -211, -1035, -1100, -472, -179, -379, -1168, -2040, -2266, -2388, -2493, -2423, -2351, -2760, -2815, -2499, -2489, -2341, -1825, -1053, -468, -209, -989, -3206, -5406, -7123, -8169, -8156, -7133, -6301, -6384, -6952, -7424, -8102, -8544, -8373, -7899, -7011, -6186, -5738, -5891, -6267, -6749, -7098, -6991, -6540, -6155, -5652, -5234, -5435, -5717, -6226, -7212, -8222, -8854, -8977, -8361, -7255, -6424, -5919, -6067, -6056, -5495, -4849, -3751, -3038, -2676, -2455, -2208, -1834, -1357, -1017, -1048, -960, -394, ;


Frequency: 612, Amplitude pozitiv: 6807, Amplitude negativ: 5062, .-<<||||   646, 1790, 2773, 3336, 3441, 3414, 3576, 4302, 4974, 5286, 5336, 5285, 5563, 6386, 7899, 9289, 10220, 10796, 11352, 12071, 13032, 14017, 13534, 11131, 6932, 604, -4655, -6878, -5740, -2768, -735, -1088, -4953, -8914, -9219, -5670, ;


Frequency: 551, Amplitude pozitiv: 6151, Amplitude negativ: 5387, .-<<||||   199, 4896, 5978, 3459, 121, 1, 1, 1994, 4493, 5747, 6779, 8797, 12345, 15509, 17076, 16519, 13963, 11242, 10004, 9974, 9835, 8513, 5655, 2274, 1, 1, 1214, 3646, 4718, 3993, 1748, -939, -3516, -5557, -7411, -8741, -8849, -7503, -4442, -1533, ;


Frequency: 239, Amplitude pozitiv: 2977, Amplitude negativ: 4623, .-<<||||   537, 1037, 662, 861, 2216, 4157, 6329, 7283, 6710, 5334, 3951, 3119, 2383, 1860, 1060, 148, -552, -729, -866, -1133, -1389, -2031, -2399, -2203, -1820, -1717, -2372, -3286, -3677, -3635, -3140, -2671, -2152, -1841, -1692, -1393, -1322, -1873, -3063, -4633, -6076, -6688, -6649, -6481, -6491, -6552, -6992, -7719, -8309, -8276, -8414, -8304, -7330, -6410, -5858, -5692, -6124, -7234, -7912, -8183, -7856, -7235, -6755, -6522, -6471, -6408, -6387, -6514, -6898, -7696, -8477, -8654, -8452, -7718, -7027, -6523, -6242, -5712, -4505, -3376, -2476, -2226, -2571, -2879, -2574, -2103, -1685, -1344, -1341, -1490, -1403, -556, ;


Frequency: 630, Amplitude pozitiv: 6931, Amplitude negativ: 4765, .-<<||||   849, 2051, 2886, 3251, 3369, 3691, 4170, 4631, 4954, 4951, 5024, 5720, 6953, 8443, 9684, 10542, 11151, 11723, 12556, 13428, 13383, 11828, 8378, 2730, -2924, -6127, -6063, -4014, -1995, -1557, -4293, -7834, -8938, -6698, -1980, ;


Frequency: 525, Amplitude pozitiv: 6188, Amplitude negativ: 4024, .-<<||||   2801, 5104, 3649, 783, 1, 1, 1783, 4306, 5920, 6466, 7337, 9599, 12390, 14830, 16011, 15073, 12725, 10934, 9948, 9910, 9546, 8102, 5367, 2476, 922, 1015, 2482, 4035, 4280, 3153, 892, -2209, -4641, -6418, -7263, -7318, -6342, -4667, -2900, -1526, -698, -286, ;


Frequency: 250, Amplitude pozitiv: 2928, Amplitude negativ: 4323, .-<<||||   251, 1195, 2452, 4134, 5460, 6322, 6576, 5883, 4954, 3581, 2194, 1289, 759, 751, 694, 354, -522, -1241, -1504, -1566, -1177, -1094, -1559, -2396, -2997, -3039, -2652, -2454, -2654, -3056, -3389, -2967, -2188, -1328, -1209, -2137, -4023, -5504, -6012, -6092, -5742, -5301, -5205, -5806, -6697, -7267, -7829, -8044, -7813, -7221, -6319, -5580, -5093, -5275, -5759, -6327, -6828, -7009, -6858, -6495, -6221, -6157, -5967, -5964, -6454, -7216, -7857, -8003, -7580, -6815, -6169, -5804, -5931, -5956, -5429, -4293, -2901, -2088, -1711, -2054, -2286, -1903, -1437, -939, -695, -823, -955, -473, ;


Frequency: 612, Amplitude pozitiv: 6772, Amplitude negativ: 3247, .-<<||||   690, 1942, 2724, 3114, 3226, 3646, 4388, 5286, 5859, 5946, 5650, 5538, 5812, 6749, 8151, 9202, 10165, 10401, 10952, 11677, 12562, 12877, 11524, 8063, 3168, -1104, -3746, -3613, -2034, -772, -1497, -4166, -6568, -6988, -4679, -553, ;


Frequency: 512, Amplitude pozitiv: 5919, Amplitude negativ: 3549, .-<<||||   3037, 4381, 3314, 1608, 583, 773, 2197, 3713, 4670, 4839, 5371, 6962, 8719, 10771, 12452, 12609, 11904, 10837, 10137, 9654, 9104, 8473, 7314, 5645, 4016, 3139, 3150, 3824, 4250, 3860, 2189, -260, -3037, -5265, -6600, -6370, -4888, -3511, -2573, -2640, -3073, -2802, -1570, ;


Frequency: 253, Amplitude pozitiv: 2320, Amplitude negativ: 4195, .-<<||||   122, 1873, 2871, 3330, 3418, 3577, 4105, 4592, 4544, 3524, 2147, 1123, 904, 1011, 1318, 917, 72, -1064, -1515, -1112, -392, -1, -1, -485, -1344, -1593, -1222, -991, -980, -1372, -2394, -3356, -3690, -3676, -3836, -4501, -5065, -5913, -6234, -5910, -5221, -4702, -4907, -5672, -6723, -7674, -8310, -8241, -7487, -6574, -5709, -5054, -4979, -5182, -5474, -5647, -5886, -6076, -6469, -6955, -7232, -7178, -6852, -6545, -6761, -7420, -7902, -7987, -7114, -6099, -5200, -4607, -4461, -4306, -4105, -3548, -2946, -2341, -2130, -2100, -2033, -1540, -984, -782, -681, -680, -596, ;


Frequency: 630, Amplitude pozitiv: 5469, Amplitude negativ: 1652, .-<<||||   153, 1084, 1986, 2742, 2935, 2936, 3290, 3898, 4662, 5286, 5605, 5614, 5483, 6015, 6797, 7531, 8129, 8545, 8930, 9498, 9892, 9572, 8272, 5526, 2366, -155, -1047, -657, -1, -1, -1516, -3471, -4442, -3764, -1468, ;


Frequency: 490, Amplitude pozitiv: 5097, Amplitude negativ: 1450, .-<<||||   1192, 2847, 3030, 2302, 1706, 1424, 2019, 3224, 4002, 3797, 3682, 3866, 4262, 5469, 6911, 7796, 8055, 8076, 7945, 7976, 8107, 8194, 7941, 7436, 6733, 6215, 5946, 5956, 6066, 5865, 5092, 3530, 1560, -345, -1736, -2299, -1932, -988, -426, -518, -1359, -2348, -2673, -2119, -659, ;


Frequency: 247, Amplitude pozitiv: 559, Amplitude negativ: 5321, .-<<||||   747, 1329, 1239, 651, 214, 168, 326, 490, 443, 86, 1, 1, 1, 67, 428, 493, 119, 54, 47, 631, 1339, 1836, 1973, 1469, 715, 203, 27, -69, -250, -1062, -2199, -3451, -4814, -5628, -5895, -6220, -6438, -6626, -6904, -7183, -7143, -7023, -7277, -7686, -8055, -8460, -8771, -8594, -8009, -7388, -6890, -6445, -6234, -6043, -5847, -5594, -5366, -5427, -5698, -5896, -5833, -5956, -6005, -6419, -6962, -7293, -7465, -7123, -6651, -5978, -5278, -4893, -4633, -4476, -4524, -4438, -4449, -4658, -4749, -4649, -4313, -3820, -3311, -3012, -2745, -2510, -1918, -1023, -252, ;


Frequency: 130, Amplitude pozitiv: 3705, Amplitude negativ: 3448, .-<<||||   417, 884, 1130, 1219, 1602, 2145, 2541, 2850, 3306, 3484, 3910, 4431, 4971, 5541, 5942, 6202, 6249, 6463, 6649, 6714, 6863, 6782, 6398, 5763, 4956, 4607, 4582, 5173, 5886, 6426, 6722, 6379, 6153, 6217, 6795, 7539, 8025, 8126, 7798, 7398, 7006, 6594, 5914, 4742, 3547, 2298, 1560, 1475, 1875, 2303, 2304, 2332, 2240, 1687, 1145, 796, 904, 1425, 2149, 2873, 3422, 3616, 3423, 3040, 2438, 1836, 1223, 848, 683, 829, 1354, 2188, 2688, 2733, 2407, 2081, 1945, 2040, 2380, 2731, 2663, 2233, 1484, 593, -205, -712, -868, -1135, -1426, -1779, -2342, -3091, -3353, -3353, -3008, -2415, -1727, -1074, -1070, -1195, -1337, -1336, -1045, -769, -716, -1153, -1792, -2742, -3328, -3508, -3493, -3599, -3936, -4368, -4927, -4895, -4625, -4258, -4135, -4102, -4528, -5230, -5535, -5673, -5374, -4860, -4595, -4594, -4717, -4696, -4539, -4137, -4168, -4440, -5066, -5509, -5718, -5687, -5229, -4959, -4777, -5319, -5596, -5820, -5901, -5585, -5005, -4382, -3954, -3670, -3797, -3849, -3966, -3899, -3802, -3679, -3713, -3873, -4052, -3995, -3738, -3232, -2578, -2032, -1609, -1454, -1069, -622, -80, ;


Frequency: 132, Amplitude pozitiv: 4100, Amplitude negativ: 4079, .-<<||||   348, 731, 809, 905, 1281, 1641, 2197, 2749, 3237, 3790, 4202, 4602, 5349, 5844, 6416, 6922, 7295, 7628, 7609, 7422, 6841, 6200, 5828, 5710, 6031, 6687, 7260, 7226, 6765, 6372, 6140, 6429, 6735, 7141, 7402, 7299, 7198, 6744, 6173, 5050, 3530, 2148, 997, 393, 456, 902, 1487, 1832, 2021, 2118, 2007, 1890, 1902, 2185, 2841, 3520, 4217, 4782, 4920, 4847, 4779, 4552, 4264, 3933, 3484, 3069, 3029, 3448, 3951, 4138, 4087, 3814, 3552, 3441, 3503, 3944, 4098, 3845, 3103, 2033, 881, 85, -348, -529, -918, -1498, -2155, -2821, -3290, -3334, -3254, -3074, -2762, -2479, -1927, -1864, -1818, -1854, -1792, -1933, -2223, -2350, -2558, -2842, -3175, -3484, -3795, -4107, -4441, -4829, -5436, -5781, -5891, -5419, -4879, -4436, -4341, -4750, -5208, -5666, -5866, -5977, -5770, -5459, -5254, -5167, -5166, -5313, -5422, -5900, -6499, -6974, -7413, -7572, -7259, -6852, -6365, -6084, -6160, -6211, -6483, -6524, -6135, -5436, -4781, -4188, -3922, -4164, -4431, -4735, -4653, -4528, -4179, -4028, -4223, -4283, -4032, -3411, -2823, -2128, -1863, -1687, -1627, -1252, -826, -404, ;


Frequency: 129, Amplitude pozitiv: 4116, Amplitude negativ: 3923, .-<<||||   52, 165, 502, 838, 1289, 1904, 2393, 2782, 3231, 3705, 4206, 4969, 5577, 6183, 6558, 7121, 7617, 8174, 8820, 9160, 9179, 8669, 8258, 7712, 7470, 7508, 7656, 7799, 7818, 7310, 6795, 6617, 6536, 6518, 6480, 6456, 6246, 5953, 5733, 5202, 4130, 2686, 1126, 193, 1, 1, 98, 558, 1042, 1307, 1613, 1777, 1715, 1733, 1826, 2358, 3013, 3940, 4721, 5053, 5050, 4964, 4869, 4656, 4281, 4006, 3582, 3225, 3276, 3728, 3850, 3731, 3437, 2922, 2536, 2362, 2691, 2800, 2483, 1795, 1014, 248, -69, -364, -546, -898, -1831, -2575, -3150, -3507, -3537, -3180, -2835, -2336, -1878, -1288, -1152, -1305, -1590, -2153, -2473, -2722, -2868, -2882, -3203, -3441, -3676, -3761, -3719, -3904, -4047, -4208, -4279, -4355, -4147, -4042, -4025, -4335, -4590, -5059, -5460, -5431, -5451, -5146, -4719, -4379, -4348, -4463, -4894, -5453, -5930, -6192, -6598, -6943, -6916, -6736, -6360, -6021, -5854, -6114, -6588, -6936, -6807, -6588, -6077, -5567, -5494, -5635, -5762, -5716, -5515, -5218, -5035, -5001, -4861, -4940, -4793, -4262, -3671, -3083, -2619, -2338, -2170, -1945, -1643, -1245, -1035, -822, -504, -97, ;


Frequency: 132, Amplitude pozitiv: 4283, Amplitude negativ: 4199, .-<<||||   546, 1298, 1676, 1908, 2341, 2747, 3422, 4284, 4912, 5449, 5907, 6222, 6458, 7015, 7498, 8034, 8527, 9059, 9234, 8865, 8538, 8189, 7783, 7866, 8259, 8580, 8623, 8187, 7695, 7314, 7082, 7276, 7343, 7601, 7470, 7027, 6359, 5368, 4293, 2908, 1629, 468, 1, 1, 400, 1000, 1501, 1680, 1679, 1501, 1085, 994, 1247, 1886, 3010, 3960, 4632, 4809, 4788, 4617, 4272, 4026, 3596, 3416, 3317, 3314, 3567, 3775, 3755, 3452, 3088, 2510, 2086, 2034, 1967, 1813, 1441, 790, 346, 29, -393, -820, -1371, -1941, -2559, -3086, -3427, -3753, -3868, -3659, -3025, -2333, -1599, -1118, -1136, -1493, -2061, -2298, -2362, -2423, -2572, -2959, -3306, -3485, -3347, -3096, -2987, -3192, -3784, -4302, -4572, -4386, -4024, -3924, -4113, -4575, -5278, -5727, -5848, -5833, -5676, -5479, -5309, -5285, -5477, -5690, -5849, -6184, -6585, -7105, -7250, -7260, -7045, -6788, -6488, -6379, -6532, -6608, -6607, -6397, -6264, -5965, -5881, -5772, -5967, -6148, -6082, -5979, -5954, -5784, -5514, -5426, -5038, -4814, -4532, -4201, -3836, -3434, -3091, -2710, -2346, -2138, -2042, -1774, -1436, -934, -230, ;


Frequency: 132, Amplitude pozitiv: 4338, Amplitude negativ: 4354, .-<<||||   401, 903, 1272, 1634, 2045, 2483, 3094, 3930, 4499, 5005, 5275, 5612, 6162, 6728, 7250, 7570, 7860, 8199, 8651, 8670, 8234, 7555, 7067, 7145, 7611, 8134, 8608, 8397, 7788, 7250, 7184, 7515, 7826, 7908, 7659, 7167, 6559, 5985, 5439, 4328, 2874, 1782, 956, 733, 1131, 1655, 2091, 2226, 2187, 1967, 1762, 1623, 1741, 2306, 2834, 3855, 4587, 4842, 4865, 4630, 4494, 4150, 3963, 3783, 3791, 3635, 3333, 3516, 3700, 3750, 3716, 3429, 2859, 2617, 2428, 2322, 2203, 1895, 1403, 896, 559, 77, -322, -1126, -2011, -2858, -3563, -3917, -4119, -3801, -3415, -2829, -2309, -1815, -1755, -2139, -2703, -3104, -3411, -3522, -3441, -3530, -3589, -3661, -3506, -3265, -3161, -3520, -3982, -4647, -5126, -5078, -4737, -4516, -4692, -4906, -5319, -5673, -5880, -5688, -5438, -5387, -5518, -5542, -5736, -6097, -6272, -6686, -7111, -7533, -7558, -7299, -7060, -6637, -6356, -6261, -6364, -6345, -6294, -6296, -6124, -5942, -5949, -5853, -5774, -5619, -5271, -5006, -4933, -5031, -5026, -4758, -4580, -4306, -3935, -3737, -3584, -3399, -3050, -2754, -2521, -2365, -2131, -1836, -1300, -760, -149, ;


Frequency: 132, Amplitude pozitiv: 4483, Amplitude negativ: 4448, .-<<||||   509, 952, 1170, 1456, 1979, 2658, 3499, 4131, 4535, 4944, 5407, 6028, 6707, 7261, 7625, 7951, 8206, 8441, 8946, 9123, 8707, 8130, 7557, 7265, 7483, 8029, 8461, 8413, 8045, 7539, 7365, 7452, 7442, 7318, 7153, 6763, 6406, 6212, 5670, 4957, 3782, 2574, 1753, 1423, 1730, 2309, 2776, 2931, 2794, 2574, 2525, 2432, 2413, 2755, 3215, 3959, 4808, 5302, 5411, 5105, 4366, 3957, 3769, 3442, 3344, 3121, 2695, 2694, 2946, 3102, 3402, 3542, 3153, 2779, 2522, 2337, 2349, 2278, 2021, 1631, 1192, 866, 183, -512, -1319, -2109, -2728, -3133, -3419, -3333, -2931, -2513, -1918, -1629, -1671, -2227, -2779, -3301, -3422, -3604, -3614, -3563, -3581, -3637, -3621, -3406, -3401, -3702, -4282, -4743, -5137, -5125, -4978, -4572, -4340, -4367, -4566, -4715, -5034, -5313, -5419, -5344, -5448, -5453, -5646, -5907, -6262, -6521, -6872, -7313, -7336, -7362, -7414, -7236, -7140, -7023, -6757, -6672, -6652, -6722, -6743, -6800, -6644, -6423, -6239, -5913, -5628, -5419, -5486, -5472, -5349, -5104, -4737, -4523, -4245, -3947, -3751, -3710, -3358, -2943, -2741, -2487, -2301, -1979, -1580, -1021, -350, ;


